Parámetro,Valor,Unidad,Interpretación
Número de muestras,2029,muestras,Total de muestras utilizadas en el análisis.
Área de análisis,6366.055121010348,km²,Superficie del polígono del área de estudio.
Densidad media del muestreo,0.31872171406489175,muestras/km²,Número promedio de muestras por km².
Distancia media observada,408.89492807980463,m,Distancia promedio entre cada muestra y su vecino más cercano.
Distancia media esperada bajo CSR,885.6541829715344,m,Distancia esperada si las muestras estuvieran distribuidas aleatoriamente.
Índice del vecino más cercano (R),0.461686893080419,adimensional,R < 1: agrupado; R ≈ 1: aleatorio; R > 1: regular.
Error estándar,10.277613268004796,m,Medida utilizada para calcular el estadístico Z.
Estadístico Z,-46.38812946736646,adimensional,Indica qué tan diferente es el patrón observado respecto al aleatorio.
Valor p,0.0,adimensional,Permite establecer si la diferencia es estadísticamente significativa.
Clasificación del patrón,Agrupado,—,La distancia observada es menor que la esperada bajo aleatoriedad espacial.
