Parámetro,Valor
Anomalías analizadas,283
Sitios del fondo geoquímico,"1,746"
Distancia media de las anomalías,"1,737.9 m"
Distancia mediana de las anomalías,"1,051.4 m"
Distancia media del fondo,"2,362.2 m"
Distancia mediana del fondo,"1,647.1 m"
Distancia media simulada (reetiquetado),"2,276.6 m"
Percentil 5 de las medias simuladas,"2,071.7 m"
Número de permutaciones,999
Pseudo valor p (cercanía),0.0010
Interpretación (α = 0.05),Las anomalías están significativamente más cerca de las fallas que el azar del muestreo
