Lag,Distancia (m),Distancia (km),Semivarianza experimental,Número de pares
1,3114.26,3.11,2526.41,18022
2,6228.53,6.23,2760.56,36488
3,9342.79,9.34,2870.33,52749
4,12457.05,12.46,2898.54,61403
5,15571.31,15.57,2802.19,72192
6,18685.58,18.69,3178.5,79665
7,21799.84,21.8,3191.97,82972
8,24914.1,24.91,3102.65,86040
9,28028.36,28.03,2849.36,88082
10,31142.63,31.14,2803.42,89691
11,34256.89,34.26,3138.41,86240
12,37371.15,37.37,3487.74,79840
13,40485.41,40.49,3569.78,71369
14,43599.68,43.6,3587.47,65582
15,46713.94,46.71,3892.99,58368
