UNIDAD_DES,Cantidad,Porcentaje (%)
Ksu:MIEMBRO URRAO,755,37.49
Pggm:BATOLITO DE MANDE,299,14.85
Ngc:FORMACION COMBIA,283,14.05
Qal:ALUVIONES RECIENTES,187,9.29
Ksvx:COMPLEJO VOLCANICO STA CECILIA-LA EQUIS,180,8.94
Ngas:FORMACION AMAGA,94,4.67
Ksn:MIEMBRO NUTIBARA,40,1.99
Ksvb:VOLCANICO BARROSO,25,1.24
Kivqg:VOLCANICO DE QUEBRADA GRANDE,20,0.99
Ngpf:STOCK DEL PARAMO DE FRONTINO,18,0.89
Ksvu:VOLCANICO DE URUMITA,15,0.74
Ngvpf:VOLCANICAS DEL PARAMO DE FRONTINO,13,0.65
Kisqg:SEDIMENTOS COMPLEJO QUEBRADA GRANDE,11,0.55
Ksg:BATOLITO DE SEGOVIA (Diorita),10,0.5
Ngtf:BATOLITO DE FARALLONES (Tonalita),9,0.45
Kidp:DIORITA DE PUEBLITO,8,0.4
Pzin:INTRUSIVOS NEISICOS SIN TECTONICO,8,0.4
Pgai:FORMACION AMAGA,7,0.35
Pzms:METASEDIMENTITAS DE SINIFA,6,0.3
Pzes:ESQUISTOS CUARZO-SERICITICOS,5,0.25
Pgam:FORMACION AMAGA,5,0.25
Ngcp:STOCK DE CERRO PLATEADO,5,0.25
Ngpa:ROCAS HIPOABISALES PORFIRICAS (Andesitas),3,0.15
Jts:BATOLITO DE SONSON (Tonalita),2,0.1
Pzev:ESQUISTOS ACTINOLITICOS Y CLORITICOS,2,0.1
Pz (es+ev):ESQUISTOS INTERCALADOS,2,0.1
Ngpd:ROCAS HIPOABISALES PORFIRICAS (Desitas),1,0.05
TRah:STOCK DE HONDA,1,0.05
