Unidad geológica,Muestras,Anomalías,Tasa de anomalías (%),Enriquecimiento,Anomalías esperadas,Pseudo p (exceso)
BATOLITO DE SEGOVIA (DIORITA),10,6,60.0,4.3017667844522975,1.4004004004004005,0.002
VOLCANICO DE URUMITA,15,9,60.0,4.301766784452297,2.1371371371371373,0.001
MIEMBRO NUTIBARA,40,16,40.0,2.867844522968198,5.667667667667668,0.001
VOLCANICO BARROSO,25,8,32.0,2.294275618374558,3.5575575575575575,0.028
KIDC,12,2,16.666666666666664,1.1949352179034158,1.7347347347347348,0.54
COMPLEJO VOLCANICO STA CECILIA-LA EQUIS,180,26,14.444444444444443,1.0356105221829603,25.08808808808809,0.448
BATOLITO DE MANDE,299,43,14.381270903010032,1.0310812248129808,41.95595595595596,0.45
FORMACION AMAGA,106,15,14.150943396226415,1.0145676378425228,14.665665665665665,0.517
ALUVIONES RECIENTES,187,24,12.834224598930483,0.9201640180646624,26.115115115115117,0.705
MIEMBRO URRAO,755,89,11.788079470198676,0.8451594786230783,104.91991991991992,0.99
STOCK DEL PARAMO DE FRONTINO,18,2,11.11111111111111,0.7966234786022772,2.5575575575575575,0.751
FORMACION COMBIA,283,31,10.954063604240282,0.7853637827916443,39.2992992992993,0.962
SEDIMENTOS COMPLEJO QUEBRADA GRANDE,11,0,0.0,0.0,1.5425425425425425,1.0
VOLCANICAS DEL PARAMO DE FRONTINO,13,0,0.0,0.0,1.8268268268268268,1.0
VOLCANICO DE QUEBRADA GRANDE,20,0,0.0,0.0,2.865865865865866,1.0
