cu_media_ppm,Ii,E_Ii,Var_Ii,Z_Ii,p_value,Tipo_cluster,Cluster_LISA
15.0,1.4140285076859689,-0.0015337423312883436,0.32937342815583553,1.9773950126832243,0.002,LL,LL
17.5,1.3746648694034989,-0.0015337423312883436,0.32937342815583553,2.0078906341449154,0.002,LL,LL
16.666666666666668,0.8236755396340416,-0.0015337423312883434,0.1639322759625387,1.6840571614256272,0.023,LL,LL
26.25,0.7544827131219168,-0.0015337423312883434,0.1639322759625387,1.8559313207048218,0.015,LL,LL
20.0,0.43431747184340974,-0.0015337423312883436,0.4948145803491324,0.5755691285045643,0.325,LL,No significativo
50.0,0.24876101425240688,-0.0015337423312883436,0.4948145803491324,0.7413573677479167,0.251,LL,No significativo
43.333333333333336,0.19437431953098702,-0.0015337423312883436,0.24665285205918713,0.6000391680257797,0.299,LL,No significativo
70.0,0.0312323625164321,-0.0015337423312883434,0.1639322759625387,1.0589411183781543,0.14,LL,No significativo
100.0,-0.2918698387931581,-0.0015337423312883432,0.14029782564921053,-1.383515959276136,0.071,HL,No significativo
20.0,0.18080742049855336,-0.0015337423312883432,0.14029782564921053,0.42780845392193334,0.342,LL,No significativo
60.0,0.07673742648963511,-0.0015337423312883436,0.1970205064011981,0.5685302369465606,0.314,LL,No significativo
41.0,0.16445645222815025,-0.0015337423312883436,0.32937342815583553,0.4235510055058253,0.379,LL,No significativo
70.0,0.03987563662912976,-0.0015337423312883436,0.4948145803491324,0.8171286408124865,0.22,LL,No significativo
75.0,-0.0024849642202300183,-0.0015337423312883436,0.991138036929023,-0.06978755420916392,0.48,HL,No significativo
40.0,0.848642752791161,-0.0015337423312883436,0.4948145803491324,1.7313224769561066,0.003,LL,LL
15.0,1.1521610582781614,-0.0015337423312883436,0.4948145803491324,1.3534113860703996,0.05,LL,No significativo
15.0,1.6832725049644193,-0.0015337423312883436,0.991138036929023,1.3334719885996142,0.009,LL,LL
10.0,1.6832725049644193,-0.0015337423312883436,0.991138036929023,1.2287542700976668,0.011,LL,LL
56.666666666666664,-0.16858621226128137,-0.0015337423312883434,0.1639322759625387,-1.1892640480528618,0.123,LH,No significativo
60.0,-0.10876195905667263,-0.0015337423312883436,0.12257198791421446,-1.0932776987148405,0.134,LH,No significativo
42.0,-0.23308135441788633,-0.0015337423312883432,0.14029782564921053,-0.9399819868525686,0.168,LH,No significativo
110.0,-0.12115809162240322,-0.0015337423312883434,0.1639322759625387,-0.36481764574897924,0.383,HL,No significativo
106.66666666666667,-0.23996436290677098,-0.0015337423312883436,0.1970205064011981,-0.7195851543686232,0.26,HL,No significativo
20.0,0.99279115393949,-0.0015337423312883436,0.24665285205918713,1.7376024885710855,0.013,LL,LL
150.0,0.7763498726046035,-0.0015337423312883436,0.1970205064011981,1.0932551796204693,0.129,HH,No significativo
200.0,0.08090177827921613,-0.0015337423312883436,0.12257198791421446,0.09950150778726918,0.438,HH,No significativo
68.0,-0.03615278549845355,-0.0015337423312883432,0.14029782564921053,-0.8698578809955317,0.182,LH,No significativo
56.666666666666664,-0.41785050069237234,-0.0015337423312883436,0.4948145803491324,-1.6491333450991066,0.065,LH,No significativo
50.0,0.14830218639889192,-0.0015337423312883436,0.32937342815583553,0.5232581411863328,0.329,LL,No significativo
50.0,0.1601208720287172,-0.0015337423312883436,0.24665285205918713,0.6349914361485219,0.282,LL,No significativo
60.0,0.05444638070644461,-0.0015337423312883436,0.32937342815583553,0.3364166158669975,0.412,LL,No significativo
65.0,0.025633868570029774,-0.0015337423312883436,0.4948145803491324,0.234516854927249,0.459,LL,No significativo
25.0,0.45966304956445825,-0.0015337423312883436,0.24665285205918713,0.889575955487469,0.184,LL,No significativo
50.0,0.13352882936161026,-0.0015337423312883434,0.1639322759625387,0.64663949839835,0.284,LL,No significativo
30.0,-0.4264988335821797,-0.0015337423312883436,0.32937342815583553,-0.7971462495615845,0.193,LH,No significativo
38.333333333333336,0.9308646221588873,-0.0015337423312883436,0.991138036929023,1.2384772876482515,0.031,LL,LL
66.66666666666667,-0.1119067151349633,-0.0015337423312883436,0.1970205064011981,-1.7869093733175618,0.055,LH,No significativo
95.0,0.24007922754440827,-0.0015337423312883432,0.14029782564921053,1.4349682031298008,0.08,HH,No significativo
60.0,-0.14133597588400565,-0.0015337423312883436,0.1970205064011981,-1.1471397673978265,0.12,LH,No significativo
50.0,-0.10863603919351,-0.0015337423312883436,0.1970205064011981,-0.5230914332816418,0.268,LH,No significativo
150.0,-0.7568451243648451,-0.0015337423312883436,0.24665285205918713,-0.9164090998700871,0.176,HL,No significativo
60.0,0.08404374802099954,-0.0015337423312883436,0.24665285205918713,0.5868371185579041,0.31,LL,No significativo
68.33333333333333,0.04513362092073125,-0.0015337423312883436,0.24665285205918713,0.8361227772000646,0.213,LL,No significativo
55.0,0.08755860211978203,-0.0015337423312883436,0.24665285205918713,0.44549240869418977,0.366,LL,No significativo
73.33333333333333,0.00032548047411559884,-0.0015337423312883436,0.32937342815583553,0.5099361347618802,0.328,LL,No significativo
55.0,0.2415718293613875,-0.0015337423312883436,0.1970205064011981,1.3580381450835377,0.056,LL,No significativo
85.0,-0.05373054257879975,-0.0015337423312883432,0.14029782564921053,-0.5761266268101667,0.299,HL,No significativo
150.0,-0.06574586436725278,-0.0015337423312883436,0.1970205064011981,-0.05621933276972689,0.481,HL,No significativo
15.0,0.2116512047712466,-0.0015337423312883436,0.4948145803491324,0.2747530903752569,0.446,LL,No significativo
35.0,-0.5395725797878896,-0.0015337423312883436,0.24665285205918713,-1.3296754479938093,0.101,LH,No significativo
70.0,-0.029997960529460667,-0.0015337423312883434,0.1639322759625387,-1.0728960723145293,0.139,LH,No significativo
70.0,0.005216963206926304,-0.0015337423312883434,0.1639322759625387,0.15933981051480595,0.476,LL,No significativo
70.0,-0.0024849642202300214,-0.0015337423312883436,0.24665285205918713,-0.07384465401422063,0.419,LH,No significativo
30.0,-0.2784994687202728,-0.0015337423312883436,0.24665285205918713,-0.6095269219032766,0.247,LH,No significativo
70.0,0.036024672915551594,-0.0015337423312883436,0.32937342815583553,0.882483554889631,0.194,LL,No significativo
75.0,-0.017159412418662225,-0.0015337423312883436,0.4948145803491324,-0.7427909869828656,0.228,HL,No significativo
30.0,0.3332312393756095,-0.0015337423312883436,0.1970205064011981,0.7833150253631271,0.229,LL,No significativo
32.5,0.3419243394192662,-0.0015337423312883436,0.24665285205918713,0.7852225241885753,0.226,LL,No significativo
100.0,0.03203444536032715,-0.0015337423312883436,0.1970205064011981,0.1601858000779209,0.388,HH,No significativo
