Variable,VIF,Tolerancia,Tipo,Diagnóstico
geo_MIEMBRO URRAO,5.554523526520765,0.18003344395345078,Geología binaria,Moderada
geo_FORMACION COMBIA,3.472668334296,0.28796300243361017,Geología binaria,Aceptable
geo_BATOLITO DE MANDE,2.950798826647237,0.33889128291955506,Geología binaria,Aceptable
elevacion_media_m_z,2.468433398886805,0.4051152445316014,Continua estandarizada,Aceptable
geo_Otras unidades,2.344148966123934,0.42659404946158636,Geología binaria,Aceptable
geo_COMPLEJO VOLCANICO STA CECILIA-LA EQUIS,2.0279297147020596,0.4931137370048934,Geología binaria,Aceptable
geo_FORMACION AMAGA,1.9347796365346235,0.5168547265626054,Geología binaria,Aceptable
distancia_falla_m_z,1.735589108856388,0.5761732399086779,Continua estandarizada,Aceptable
densidad_fallas_km_km2_z,1.64343312237211,0.6084823205684288,Continua estandarizada,Aceptable
geo_VOLCANICO DE QUEBRADA GRANDE,1.5014092821229204,0.6660409069711146,Geología binaria,Aceptable
geo_VOLCANICO BARROSO,1.4796567740985416,0.6758324075589995,Geología binaria,Aceptable
relieve_m_z,1.42300370060139,0.7027388611690749,Continua estandarizada,Aceptable
geo_MIEMBRO NUTIBARA,1.3812031577564152,0.7240064536373996,Geología binaria,Aceptable
